,year,Andaman and Nicobar,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttar Pradesh,Uttaranchal,West Bengal
10,2002,5.901502048,45.66418439,0.530037053,16.2610976,12.69064088,254.1536458,14.34991993,83.92936288,103.7897311,246.1776007,79.37076048,95.92947634,14.02531948,5.086526117,14.19585478,42.58862036,62.85900266,23.34437086,21.3071528,48.58453581,5.187987546,5.549904095,2.27455869,4.453355599,14.165576,144.0544725,105.5832552,24.93723862,5.025819885,72.68005396,23.893245,26.97134867,14.98297748,41.80768171
11,2003,4.598088302,35.200049,0.472937138,11.78985472,7.90143918,252.5364583,9.416607949,70.81509695,78.52200489,238.683224,71.2902886,76.63215932,11.4983396,4.189634652,10.66711001,34.83570836,48.50148259,17.89072848,13.61659429,38.61071123,3.530655536,3.896035939,1.701637853,2.818770592,9.610463784,128.4271789,88.044308,20.59747322,3.115356585,62.54635068,19.31693455,19.74475871,13.10218269,30.95024358
12,2004,3.999180701,30.10963926,0.489824182,13.17560019,7.492981875,253.1692708,12.53709419,91.18836565,83.04523227,241.5335052,81.22824942,81.68290054,9.528653203,4.91142114,11.92308063,31.2956711,42.4634764,7.92384106,12.05142163,31.62836499,2.538439168,5.565854561,1.408535032,2.99047705,10.22766509,133.7144495,100.0947416,21.59806604,4.475637689,50.53453312,20.59184043,16.61154998,13.57679501,34.1969499
13,2005,5.942967683,41.2579058,0.667689849,15.6078224,9.674725861,252.609375,15.15798806,88.77354571,85.450489,241.712746,78.17263535,87.57448678,15.90307659,5.382659338,13.08039862,40.65732678,59.41606606,22.06291391,17.02751213,38.96107919,4.011564253,6.524379985,2.213248408,4.335988627,13.88565565,136.6209862,101.0293078,24.46267329,5.766267569,65.0276475,24.23168259,22.07565971,15.85281806,39.6298094
14,2006,5.067319071,38.06675728,0.608337723,13.86888635,10.10706984,253.8020833,13.27331198,82.43559557,81.14486553,241.5934864,73.63397936,81.8061304,14.72288121,5.213384953,12.48565894,37.50477285,53.89492024,17.80463576,14.0191556,33.00180403,3.365385931,5.957128916,1.793484986,3.833822268,12.13242311,129.0905963,96.28557411,22.32078284,6.208797501,60.15756432,19.64740805,20.80652744,14.79841395,36.92861905
15,2007,4.762539827,41.34578456,0.664570354,15.65738542,10.8246802,254.1536458,13.68291454,90.18767313,85.99205379,241.3242737,74.18780282,83.63584055,16.70991459,5.641883308,13.02368974,40.19200579,55.06200896,14.80794702,13.10528831,33.61400691,3.535496784,7.557458694,1.916760692,3.285643363,12.34094254,139.1072248,104.1262356,23.68919171,6.134148881,63.65627884,19.46090356,24.0922702,15.78983813,37.46490292
16,2008,7.573236231,56.14461249,0.94553826,20.65527022,13.58497305,255,20.2597758,116.4847645,106.0268949,249.1672915,91.03581209,109.1477465,23.8390769,8.446561823,16.64864396,53.29305394,73.51291042,22.95364238,21.74603799,47.59637267,5.121116737,9.862233738,3.288189263,6.204404928,17.86166946,165.8566514,132.3732233,32.44390093,9.926288391,83.7041791,30.29257168,34.26995769,23.98801288,50.1911315
17,2009,6.436231224,54.6029746,0.883638774,20.74530089,14.24491115,254.6302083,21.45275295,120.3060942,109.5623472,247.4372071,86.68211502,107.059082,20.45757259,6.89997058,16.60671948,50.6872479,65.6691124,21.36423841,19.38275126,46.80107201,4.781202956,9.208634788,2.588207461,5.363090671,16.14059675,165.9885321,122.7693329,31.01384514,9.966996356,78.87191595,27.34658268,30.47321608,23.86672828,47.99390157
18,2010,6.304905798,53.67557715,0.806742756,18.54024193,11.56889126,253.8911917,20.4248073,116.6282579,105.1688943,250.3426966,88.22719595,122.192501,18.20929962,6.664531486,15.94841258,47.31257185,64.07268398,23.08108108,11.98554419,40.56436793,3.797448439,8.318593303,2.264507913,4.869916497,15.98608091,165.6017798,127.2864874,32.23314023,8.172237842,80.97540978,26.70104061,25.50932605,20.21623899,42.76061333
19,2011,10.69900792,81.4756905,1.5810974,31.71822955,24.49633544,255,30.5132443,150.3113855,131.0133657,254.0926966,112.3566301,149.6391373,28.69106342,10.76300833,24.48871224,73.51345473,96.51679654,37.27027027,22.02613039,60.95494583,6.572459555,16.09039206,3.492341277,9.34380501,23.02305589,196.676307,158.2392807,48.51438036,16.92804332,117.5175212,46.35828877,45.11116866,33.84859193,59.65625778
20,2012,7.701374352,66.16983739,1.320975548,26.01517366,16.3608155,255,28.34858999,148.7366255,121.7958688,253.005618,105.9579814,130.9712484,24.30865234,9.077354605,21.07490485,62.35855765,77.78398268,34.42567568,20.06571051,58.19668282,5.99777679,9.65118627,2.563798436,7.584337621,21.24003687,177.7263626,132.8261968,38.63503611,13.34905759,93.33432636,43.0613528,35.90766237,28.55367239,55.85892444
21,2013,8.129085116,73.49799588,1.322220608,28.68681556,17.10899306,255,31.74421895,145.1426593,126.7249389,254.4119025,107.7714346,149.4494743,27.67036219,11.75936104,21.58503441,68.26002854,86.32417808,29.89403974,21.74340758,64.31095775,5.978582181,12.08402598,2.623548681,6.001128312,23.74814502,185.7993119,150.6368346,45.73495587,13.07402395,94.75281121,46.44164495,37.93476951,31.68465187,61.19590534
